Department,SourceOfFund,DateRequested,DateNeeded,DateApproved,ApprovalLagDays,TransactionType,ModeOfPayment,TermsOfPayment,PR,PO,RR,TaxRegistration,TypeOfBusiness,Currency,Amount,ServiceFee,Less:EWT,NetTotalAmount,StudentsEnrolled,ProgramCount,AccreditationAudit,GovtFundingChange,TuitionPolicy
CEA,General Fund,2025-02-04,2025-03-16,2025-02-06,2,Payment Only,Cheque,Net 7,PR-2025-1428,,,VAT,Honorarium 5%,PHP,48748.89,46.11,2437.44,46265.34,5175,8,0,1.05,Increase
HRMO,Project Fund,2021-06-15,2021-06-26,2021-06-25,10,Payment Only,Cheque,Net 30,PR-2021-3015,,RR-2021-1368,Non-VAT,Goods,PHP,10859.35,37.11,108.59,10713.65,607,0,0,0.91,Increase
OSS,General Fund,2024-12-06,2025-01-11,2024-12-08,2,Purchase Order,Cheque,Immediate,PR-2024-7927,PO-2024-5122,RR-2024-3153,Non-VAT,Goods,PHP,13329.48,13.26,133.29,13182.93,408,0,0,0.91,Freeze
OSS,General Fund,2025-01-06,2025-01-26,2025-01-24,18,Payment Only,Fund Transfer,Net 30,PR-2025-1202,,RR-2025-4754,Non-VAT,Goods,PHP,14056.22,10.69,140.56,13904.97,351,0,0,1.09,Increase
OP,Paid Fund,2023-05-12,2023-05-20,2023-05-19,7,Payment Only,Fund Transfer,Net 45,PR-2023-8087,,RR-2023-3476,Non-VAT,Goods,PHP,18169.33,138.39,181.69,17849.25,592,0,0,1.01,Freeze
CAS,Project Fund,2021-04-06,2021-04-26,2021-04-10,4,Payment Only,Cheque,Net 15,PR-2021-6185,,,Non-VAT,Services,PHP,51204.42,24.64,1024.09,50155.69,4160,2,0,1.09,Decrease
OVPAA,General Fund,2021-11-03,2021-11-15,2021-11-14,11,Purchase Order,Fund Transfer,Net 15,PR-2021-9205,PO-2021-2124,RR-2021-1254,VAT,Honorarium 5%,PHP,18434.85,15.09,921.74,17498.02,219,0,0,0.93,Freeze
CEA,General Fund,2024-07-14,2024-08-17,2024-07-31,17,Payment Only,Fund Transfer,Net 45,PR-2024-1431,,RR-2024-9987,Non-VAT,Services,PHP,27530.63,68.19,550.61,26911.83,5115,8,0,0.91,Freeze
HRMO,Project Fund,2024-07-22,2024-07-31,2024-07-30,8,Purchase Order,Cash,Net 30,PR-2024-3337,PO-2024-8147,RR-2024-4316,Non-VAT,Rental,PHP,7549.07,0.0,377.45,7171.62,621,0,0,1.09,Increase
ADO,Special Fund,2025-06-13,2025-07-03,2025-06-28,15,Purchase Order,Cheque,Net 30,PR-2025-2417,PO-2025-7083,RR-2025-8353,Non-VAT,Services,PHP,10342.6,35.15,206.85,10100.6,221,0,0,1.01,Increase
IFO,Paid Fund,2023-12-20,2024-01-11,2024-01-05,16,Payment Only,Fund Transfer,Net 30,PR-2023-4513,,,VAT,Services,PHP,11057.63,90.88,221.15,10745.6,629,0,0,0.97,Increase
ATYCB,Paid Fund,2021-08-13,2021-09-04,2021-08-20,7,Purchase Order,Cash,Net 15,PR-2021-4979,PO-2021-9317,,VAT,Services,PHP,56313.08,0.0,1126.26,55186.82,1040,6,0,1.01,Increase
OAVP,Paid Fund,2021-07-19,2021-08-04,2021-07-28,9,Purchase Order,Fund Transfer,Net 30,PR-2021-6529,PO-2021-4897,,VAT,Goods,PHP,20827.16,54.17,208.27,20564.72,228,0,0,1.05,Decrease
CCIS,Paid Fund,2024-08-14,2024-09-25,2024-08-22,8,Purchase Order,Cheque,Net 15,PR-2024-5820,PO-2024-4803,RR-2024-6711,VAT,Services,PHP,34021.24,10.19,680.42,33330.63,3118,3,0,0.94,Increase
CEA,General Fund,2021-12-13,2022-01-09,2022-01-02,20,Purchase Order,Cash,Net 30,PR-2021-9381,PO-2021-6667,RR-2021-6284,VAT,Goods,PHP,29600.61,0.0,296.01,29304.6,4911,8,0,0.94,Freeze
NSTP,General Fund,2022-08-23,2022-09-22,2022-08-30,7,Purchase Order,Cheque,Net 7,PR-2022-5216,PO-2022-1225,,VAT,Services,PHP,18406.55,3.56,368.13,18034.86,548,0,0,0.94,Freeze
CAS,Special Fund,2023-06-16,2023-07-11,2023-06-18,2,Purchase Order,Fund Transfer,Immediate,PR-2023-7420,PO-2023-4031,RR-2023-9507,Non-VAT,Goods,PHP,46182.82,129.39,461.83,45591.6,3909,2,0,1.06,Freeze
CEA,General Fund,2021-02-15,2021-02-25,2021-02-24,9,Payment Only,Cash,Net 45,PR-2021-1523,,RR-2021-6314,VAT,Honorarium 10%,PHP,17155.21,0.0,1715.52,15439.69,4961,8,0,1.06,Freeze
DOST,Special Fund,2022-03-13,2022-04-16,2022-03-23,10,Purchase Order,Fund Transfer,Net 30,PR-2022-5126,PO-2022-7993,RR-2022-7638,VAT,Services,PHP,17757.45,76.86,355.15,17325.44,271,0,0,1.01,Freeze
DOST,Paid Fund,2023-01-03,2023-01-31,2023-01-30,27,Purchase Order,Fund Transfer,Net 30,PR-2023-3690,PO-2023-8149,RR-2023-8955,Non-VAT,Honorarium 5%,PHP,15795.48,50.93,789.77,14954.78,235,0,0,0.91,Increase
QAEO,General Fund,2022-05-19,2022-06-27,2022-05-23,4,Payment Only,Fund Transfer,Net 15,PR-2022-8105,,RR-2022-1474,VAT,Goods,PHP,8549.5,93.8,85.5,8370.2,470,0,0,1.08,Increase
OAVP,General Fund,2021-08-14,2021-08-23,2021-08-22,8,Purchase Order,Fund Transfer,Net 45,PR-2021-3414,PO-2021-1184,RR-2021-8134,VAT,Honorarium 10%,PHP,9615.68,54.68,961.57,8599.43,213,0,0,0.94,Freeze
IDEALS,General Fund,2024-08-19,2024-09-22,2024-08-31,12,Purchase Order,Fund Transfer,Net 45,PR-2024-6750,PO-2024-8465,RR-2024-1935,VAT,Goods,PHP,15009.51,30.08,150.1,14829.33,455,0,0,1.09,Freeze
PO,Special Fund,2025-01-10,2025-01-18,2025-01-17,7,Purchase Order,Fund Transfer,Immediate,PR-2025-6515,PO-2025-2301,RR-2025-6489,VAT,Honorarium 10%,PHP,6330.99,54.1,633.1,5643.79,518,0,0,1.08,Freeze
CHS,General Fund,2022-04-26,2022-05-11,2022-05-05,9,Purchase Order,Fund Transfer,Net 30,PR-2022-8215,PO-2022-6523,RR-2022-9820,Non-VAT,Services,PHP,51122.68,125.81,1022.45,49974.42,2645,5,0,0.98,Freeze
ATYCB,Paid Fund,2024-12-21,2025-02-03,2025-01-08,18,Payment Only,Cheque,Net 30,PR-2024-1007,,RR-2024-7544,VAT,Goods,PHP,117769.66,7.57,1177.7,116584.39,899,6,0,1.04,Freeze
NSTP,General Fund,2022-12-22,2023-01-12,2022-12-25,3,Payment Only,Cash,Net 7,PR-2022-3001,,RR-2022-4476,VAT,Goods,PHP,21086.63,0.0,210.87,20875.76,545,0,0,0.93,Freeze
CHS,General Fund,2023-07-26,2023-08-26,2023-08-04,9,Purchase Order,Cheque,Net 30,PR-2023-4890,PO-2023-6188,,VAT,Services,PHP,25871.17,31.63,517.42,25322.12,2701,5,0,0.96,Increase
ATYCB,Project Fund,2025-04-05,2025-04-19,2025-04-06,1,Payment Only,Cash,Immediate,PR-2025-4965,,,Non-VAT,Goods,PHP,65084.34,0.0,650.84,64433.5,806,6,1,1.05,Freeze
CHS,Others,2024-10-01,2024-10-16,2024-10-04,3,Payment Only,Fund Transfer,Net 7,PR-2024-5305,,RR-2024-7768,VAT,Services,PHP,21232.17,132.98,424.64,20674.55,2822,5,0,0.91,Increase
IFO,Others,2025-01-04,2025-02-04,2025-01-16,12,Purchase Order,Fund Transfer,Net 30,PR-2025-3662,PO-2025-8023,RR-2025-4284,Non-VAT,Honorarium 5%,PHP,17529.44,124.35,876.47,16528.62,604,0,0,0.98,Increase
BDCCO,General Fund,2021-08-14,2021-08-29,2021-08-21,7,Payment Only,Cheque,Net 30,PR-2021-9161,,RR-2021-9066,VAT,Goods,PHP,12635.21,27.39,126.35,12481.47,767,0,0,0.99,Freeze
OP,General Fund,2021-04-26,2021-05-10,2021-05-09,13,Purchase Order,Cash,Net 30,PR-2021-3515,PO-2021-9778,RR-2021-5385,Non-VAT,Goods,PHP,12698.96,0.0,126.99,12571.97,544,0,0,0.98,Decrease
CAS,General Fund,2025-06-20,2025-07-24,2025-07-14,24,Purchase Order,Fund Transfer,Net 30,PR-2025-7777,PO-2025-6259,RR-2025-9805,VAT,Goods,PHP,75788.77,141.65,757.89,74889.23,3647,2,0,1.0,Freeze
ORDI,Paid Fund,2022-12-28,2023-02-05,2023-01-01,4,Payment Only,Fund Transfer,Net 7,PR-2022-6800,,RR-2022-2356,VAT,Goods,PHP,17793.82,16.47,177.94,17599.41,675,0,0,0.95,Freeze
CAS,General Fund,2022-06-04,2022-06-17,2022-06-14,10,Purchase Order,Cheque,Net 15,PR-2022-9145,PO-2022-2088,RR-2022-3090,Non-VAT,Honorarium 10%,PHP,24110.54,26.09,2411.05,21673.4,3999,2,0,0.93,Freeze
MARCOMM,Project Fund,2024-08-08,2024-09-13,2024-08-15,7,Payment Only,Fund Transfer,Net 30,PR-2024-7217,,RR-2024-8529,VAT,Honorarium 5%,PHP,14598.9,144.21,729.94,13724.75,611,0,0,0.96,Freeze
ATYCB,Project Fund,2025-03-19,2025-04-08,2025-03-28,9,Purchase Order,Cash,Net 30,PR-2025-5640,PO-2025-4715,,VAT,Services,PHP,35245.93,0.0,704.92,34541.01,869,6,0,1.07,Increase
CEA,General Fund,2025-04-04,2025-04-30,2025-04-15,11,Purchase Order,Cash,Net 30,PR-2025-4426,PO-2025-9591,RR-2025-2675,VAT,Goods,PHP,46799.97,0.0,468.0,46331.97,5203,8,0,1.04,Decrease
OAVP,Project Fund,2022-07-22,2022-08-14,2022-08-05,14,Payment Only,Cheque,Net 15,PR-2022-3719,,RR-2022-7007,VAT,Honorarium 5%,PHP,7601.49,16.08,380.07,7205.34,202,0,0,1.09,Freeze
ORDI,Special Fund,2025-03-18,2025-04-13,2025-03-28,10,Payment Only,Cheque,Net 30,PR-2025-6386,,RR-2025-1614,Non-VAT,Services,PHP,20009.61,21.85,400.19,19587.57,656,0,0,1.05,Increase
CCIS,Project Fund,2021-03-10,2021-04-05,2021-03-17,7,Payment Only,Fund Transfer,Net 30,PR-2021-5274,,RR-2021-8789,VAT,Honorarium 10%,PHP,10961.07,55.01,1096.11,9809.95,2991,3,0,1.02,Decrease
IDEALS,Special Fund,2021-03-05,2021-03-21,2021-03-17,12,Purchase Order,Fund Transfer,Net 30,PR-2021-6252,PO-2021-8573,RR-2021-8865,Non-VAT,Rental,PHP,9119.05,142.32,455.95,8520.78,411,0,0,1.09,Freeze
IDEALS,General Fund,2024-02-21,2024-04-01,2024-02-23,2,Purchase Order,Cheque,Immediate,PR-2024-9946,PO-2024-1080,RR-2024-4479,VAT,Services,PHP,25628.28,27.06,512.57,25088.65,467,0,0,1.08,Increase
ACO,Project Fund,2021-04-08,2021-04-29,2021-04-19,11,Purchase Order,Cheque,Net 30,PR-2021-4735,PO-2021-2498,,VAT,Goods,PHP,32696.78,1.47,326.97,32368.34,560,0,0,0.94,Freeze
ADO,General Fund,2022-08-07,2022-09-09,2022-08-17,10,Payment Only,Fund Transfer,Net 30,PR-2022-6049,,RR-2022-7117,VAT,Honorarium 5%,PHP,6302.66,43.47,315.13,5944.06,158,0,0,1.06,Increase
CHS,General Fund,2024-05-25,2024-06-08,2024-06-02,8,Payment Only,Fund Transfer,Net 30,PR-2024-2162,,RR-2024-4186,Non-VAT,Goods,PHP,35519.15,116.88,355.19,35047.08,2834,5,0,0.95,Freeze
CEA,General Fund,2022-09-01,2022-10-07,2022-09-04,3,Purchase Order,Fund Transfer,Immediate,PR-2022-9874,PO-2022-8738,RR-2022-4168,Non-VAT,Goods,PHP,42667.7,113.0,426.68,42128.02,5005,8,0,0.95,Decrease
CCIS,General Fund,2021-12-27,2022-02-06,2022-01-07,11,Payment Only,Fund Transfer,Net 30,PR-2021-7786,,RR-2021-4649,VAT,Rental,PHP,35069.76,28.65,1753.49,33287.62,2905,3,0,1.06,Decrease
RO,Project Fund,2022-05-12,2022-06-19,2022-05-14,2,Purchase Order,Cheque,Immediate,PR-2022-2493,PO-2022-5965,RR-2022-2656,Non-VAT,Goods,PHP,11417.54,37.17,114.18,11266.19,556,0,0,1.09,Decrease
CEA,Others,2023-04-22,2023-05-16,2023-05-03,11,Purchase Order,Cash,Net 30,PR-2023-9529,PO-2023-5141,RR-2023-1664,VAT,Goods,PHP,34262.77,0.0,342.63,33920.14,5022,8,0,1.08,Decrease
CEA,Project Fund,2023-05-10,2023-05-28,2023-05-25,15,Payment Only,Cash,Net 30,PR-2023-2017,,RR-2023-4434,VAT,Services,PHP,38497.56,0.0,769.95,37727.61,5086,8,0,0.95,Decrease
ADO,Paid Fund,2024-12-28,2025-01-18,2025-01-04,7,Payment Only,Cheque,Net 30,PR-2024-1448,,RR-2024-4167,Non-VAT,Services,PHP,18299.79,4.02,366.0,17929.77,221,0,0,0.96,Decrease
CHS,Others,2024-10-04,2024-10-11,2024-10-10,6,Purchase Order,Cheque,Net 15,PR-2024-3070,PO-2024-7928,RR-2024-1870,VAT,Goods,PHP,36411.74,5.42,364.12,36042.2,2819,5,0,0.97,Freeze
CHS,General Fund,2023-04-10,2023-04-28,2023-04-22,12,Purchase Order,Cheque,Net 30,PR-2023-1096,PO-2023-5982,,VAT,Goods,PHP,40784.61,12.37,407.85,40364.39,2766,5,0,1.07,Increase
CORPCOMM,General Fund,2025-03-05,2025-03-26,2025-03-12,7,Payment Only,Cash,Net 30,PR-2025-3674,,RR-2025-1333,VAT,Honorarium 10%,PHP,7959.53,0.0,795.95,7163.58,342,0,0,1.01,Freeze
ACO,General Fund,2021-07-03,2021-08-14,2021-07-20,17,Payment Only,Cheque,Net 45,PR-2021-4571,,RR-2021-6884,VAT,Goods,PHP,9596.48,16.69,95.96,9483.83,558,0,0,1.02,Freeze
CCIS,Special Fund,2022-04-16,2022-05-07,2022-05-06,20,Payment Only,Cheque,Net 30,PR-2022-2588,,,VAT,Goods,PHP,51254.12,20.84,512.54,50720.74,3009,3,0,1.06,Decrease
CSCE,General Fund,2025-02-13,2025-03-22,2025-02-22,9,Purchase Order,Fund Transfer,Net 30,PR-2025-1288,PO-2025-6142,RR-2025-8133,VAT,Goods,PHP,22106.24,16.73,221.06,21868.45,495,0,0,0.99,Freeze
CEA,General Fund,2022-12-14,2023-01-05,2022-12-18,4,Purchase Order,Fund Transfer,Net 7,PR-2022-7165,PO-2022-5869,RR-2022-3618,Non-VAT,Goods,PHP,38518.26,128.86,385.18,38004.22,5006,8,0,0.92,Decrease
CAS,General Fund,2025-12-06,2026-01-02,2025-12-15,9,Purchase Order,Cheque,Net 30,PR-2025-5936,PO-2025-5850,RR-2025-7306,VAT,Rental,PHP,92388.76,49.64,4619.44,87719.68,3684,2,1,1.06,Freeze
OSS,Paid Fund,2023-04-07,2023-05-14,2023-04-20,13,Payment Only,Cheque,Net 30,PR-2023-2095,,RR-2023-7173,VAT,Honorarium 10%,PHP,6126.83,2.94,612.68,5511.21,363,0,0,0.96,Freeze
OSS,Project Fund,2024-12-19,2024-12-30,2024-12-25,6,Purchase Order,Cash,Net 15,PR-2024-1918,PO-2024-6978,,VAT,Goods,PHP,16720.6,0.0,167.21,16553.39,368,0,0,0.99,Decrease
CGC,Project Fund,2023-01-09,2023-01-26,2023-01-15,6,Purchase Order,Cash,Immediate,PR-2023-9995,PO-2023-9614,,Non-VAT,Goods,USD,16970.11,0.0,169.7,16800.41,779,0,0,1.04,Freeze
ICELL,General Fund,2023-02-04,2023-03-05,2023-02-07,3,Payment Only,Fund Transfer,Net 7,PR-2023-6513,,RR-2023-4343,VAT,Goods,PHP,8436.08,34.56,84.36,8317.16,682,0,0,0.97,Freeze
CHSW,General Fund,2022-12-08,2023-01-12,2022-12-08,0,Payment Only,Fund Transfer,Immediate,PR-2022-2040,,,VAT,Goods,PHP,21708.88,45.96,217.09,21445.83,407,0,0,0.95,Freeze
CAS,General Fund,2024-08-12,2024-09-18,2024-08-18,6,Purchase Order,Fund Transfer,Net 15,PR-2024-3014,PO-2024-5458,RR-2024-6691,VAT,Goods,USD,30292.93,131.9,302.93,29858.1,3824,2,0,1.05,Increase
CAS,Special Fund,2023-10-11,2023-10-18,2023-10-14,3,Payment Only,Fund Transfer,Net 7,PR-2023-6930,,RR-2023-3804,Non-VAT,Services,PHP,32647.78,67.85,652.96,31926.97,3878,2,0,0.97,Increase
CHS,Paid Fund,2025-09-15,2025-10-26,2025-09-23,8,Payment Only,Fund Transfer,Net 7,PR-2025-3203,,,VAT,Rental,PHP,25397.13,139.93,1269.86,23987.34,2924,5,0,1.02,Freeze
HS,Project Fund,2022-03-07,2022-04-08,2022-03-11,4,Purchase Order,Cheque,Net 7,PR-2022-5609,PO-2022-5052,RR-2022-4602,VAT,Services,PHP,12352.6,34.59,247.05,12070.96,349,0,0,1.02,Freeze
QAEO,Special Fund,2021-06-03,2021-06-18,2021-06-11,8,Payment Only,Fund Transfer,Net 30,PR-2021-4661,,RR-2021-8363,VAT,Services,PHP,9720.25,122.9,194.4,9402.95,492,0,0,0.94,Increase
CAS,General Fund,2023-01-11,2023-02-19,2023-01-19,8,Purchase Order,Fund Transfer,Net 15,PR-2023-7533,PO-2023-7960,,Non-VAT,Honorarium 5%,PHP,37040.76,15.09,1852.04,35173.63,3905,2,0,0.93,Decrease
CEA,General Fund,2024-02-01,2024-02-12,2024-02-11,10,Purchase Order,Fund Transfer,Net 30,PR-2024-1325,PO-2024-7404,RR-2024-4590,VAT,Services,PHP,57835.15,89.04,1156.7,56589.41,5111,8,0,1.08,Freeze
CHS,General Fund,2025-04-17,2025-05-04,2025-04-26,9,Purchase Order,Fund Transfer,Net 30,PR-2025-8301,PO-2025-1405,,VAT,Rental,PHP,27721.35,101.16,1386.07,26234.12,2947,5,0,0.94,Increase
ATYCB,Special Fund,2022-10-01,2022-10-11,2022-10-10,9,Purchase Order,Cash,Immediate,PR-2022-4840,PO-2022-7566,,Non-VAT,Goods,PHP,25791.02,0.0,257.91,25533.11,976,6,0,0.95,Decrease
CCIS,General Fund,2024-04-20,2024-05-01,2024-04-30,10,Purchase Order,Fund Transfer,Net 30,PR-2024-6879,PO-2024-7415,RR-2024-7791,VAT,Goods,PHP,69936.46,105.75,699.36,69131.35,3192,3,0,1.06,Freeze
CEA,General Fund,2022-10-23,2022-11-06,2022-10-28,5,Payment Only,Fund Transfer,Net 15,PR-2022-8051,,,VAT,Goods,PHP,21901.48,77.59,219.01,21604.88,5038,8,1,1.05,Freeze
CEA,Project Fund,2024-02-09,2024-03-06,2024-02-10,1,Payment Only,Fund Transfer,Immediate,PR-2024-1810,,RR-2024-5179,VAT,Goods,PHP,30434.44,27.2,304.34,30102.9,5114,8,0,0.91,Freeze
HRMO,General Fund,2025-05-16,2025-06-09,2025-06-03,18,Purchase Order,Cheque,Net 30,PR-2025-1140,PO-2025-8326,RR-2025-9946,VAT,Goods,USD,9840.43,0.15,98.4,9741.88,634,0,0,0.96,Increase
PO,General Fund,2022-02-19,2022-04-02,2022-02-21,2,Payment Only,Fund Transfer,Immediate,PR-2022-5646,,RR-2022-3737,VAT,Goods,PHP,16478.72,55.74,164.79,16258.19,546,0,0,1.0,Increase
HRMO,General Fund,2023-01-28,2023-02-28,2023-02-03,6,Purchase Order,Cheque,Net 15,PR-2023-5564,PO-2023-6433,RR-2023-5751,VAT,Goods,PHP,13395.15,17.18,133.95,13244.02,689,0,0,1.0,Freeze
HRMO,Special Fund,2025-12-01,2025-12-14,2025-12-05,4,Purchase Order,Cash,Net 7,PR-2025-5557,PO-2025-4106,RR-2025-3636,VAT,Services,PHP,28977.34,0.0,579.55,28397.79,609,0,0,0.94,Freeze
NSTP,General Fund,2025-04-16,2025-05-27,2025-04-20,4,Purchase Order,Fund Transfer,Net 7,PR-2025-1824,PO-2025-1355,,VAT,Goods,PHP,8860.21,42.12,88.6,8729.49,520,0,0,1.02,Increase
MARCOMM,General Fund,2023-11-19,2023-12-06,2023-11-27,8,Payment Only,Cheque,Net 7,PR-2023-1510,,,VAT,Goods,PHP,15784.05,24.19,157.84,15602.02,592,0,0,1.07,Freeze
BDCCO,Project Fund,2023-07-08,2023-08-16,2023-07-14,6,Purchase Order,Fund Transfer,Net 15,PR-2023-5459,PO-2023-9272,,VAT,Goods,PHP,9718.47,132.55,97.18,9488.74,742,0,0,0.98,Freeze
PO,Others,2022-05-12,2022-06-17,2022-05-22,10,Purchase Order,Fund Transfer,Net 15,PR-2022-4901,PO-2022-8984,,Non-VAT,Services,PHP,20156.14,81.32,403.12,19671.7,530,0,0,0.99,Freeze
HS,Project Fund,2023-07-12,2023-08-08,2023-07-22,10,Payment Only,Cash,Net 45,PR-2023-1685,,RR-2023-7564,VAT,Services,PHP,7327.92,0.0,146.56,7181.36,367,0,0,1.04,Freeze
CSCE,General Fund,2025-03-13,2025-04-23,2025-03-23,10,Purchase Order,Fund Transfer,Net 30,PR-2025-2422,PO-2025-1036,RR-2025-8033,VAT,Rental,PHP,10806.49,95.82,540.32,10170.35,463,0,0,0.95,Decrease
ATYCB,Paid Fund,2024-06-06,2024-06-27,2024-06-10,4,Payment Only,Cash,Net 15,PR-2024-9453,,RR-2024-6162,VAT,Goods,USD,52793.78,0.0,527.94,52265.84,921,6,0,1.07,Freeze
CHS,General Fund,2022-06-09,2022-07-10,2022-06-19,10,Payment Only,Cheque,Net 45,PR-2022-8162,,RR-2022-2983,VAT,Rental,PHP,22440.98,15.18,1122.05,21303.75,2632,5,1,1.05,Freeze
CHS,Special Fund,2022-01-07,2022-02-19,2022-01-16,9,Purchase Order,Fund Transfer,Net 30,PR-2022-3415,PO-2022-6624,RR-2022-5820,VAT,Goods,PHP,45506.35,42.95,455.06,45008.34,2689,5,1,0.98,Freeze
EVP or COO,Special Fund,2022-04-10,2022-05-12,2022-04-18,8,Payment Only,Cheque,Net 30,PR-2022-9522,,RR-2022-7108,VAT,Services,PHP,10470.73,17.84,209.41,10243.48,451,0,0,1.07,Increase
LMO,Paid Fund,2021-11-18,2021-12-23,2021-12-01,13,Payment Only,Cash,Net 30,PR-2021-6288,,RR-2021-1571,VAT,Services,PHP,5370.94,0.0,107.42,5263.52,593,0,0,0.94,Freeze
CEA,Project Fund,2021-06-16,2021-06-28,2021-06-18,2,Payment Only,Cash,Net 7,PR-2021-1726,,RR-2021-5982,VAT,Goods,PHP,48134.19,0.0,481.34,47652.85,4984,8,0,1.0,Freeze
CEA,Others,2023-02-09,2023-02-22,2023-02-21,12,Payment Only,Cheque,Net 30,PR-2023-6230,,,VAT,Honorarium 10%,PHP,32067.09,31.8,3206.71,28828.58,5073,8,0,1.03,Freeze
CEA,Paid Fund,2021-07-24,2021-08-18,2021-08-08,15,Payment Only,Fund Transfer,Net 45,PR-2021-6426,,RR-2021-2878,VAT,Goods,PHP,27547.75,29.65,275.48,27242.62,4899,8,0,1.03,Increase
NSTP,Project Fund,2021-11-21,2021-12-17,2021-11-22,1,Payment Only,Fund Transfer,Immediate,PR-2021-2718,,RR-2021-7191,VAT,Goods,PHP,10602.08,16.96,106.02,10479.1,480,0,0,1.01,Freeze
CAS,General Fund,2023-10-14,2023-11-04,2023-10-22,8,Payment Only,Fund Transfer,Net 7,PR-2023-1299,,RR-2023-2224,VAT,Honorarium 10%,PHP,33392.46,136.93,3339.25,29916.28,3933,2,0,1.06,Freeze
CAS,Project Fund,2021-11-14,2021-12-27,2021-11-23,9,Payment Only,Cheque,Net 30,PR-2021-7798,,RR-2021-5184,VAT,Goods,PHP,41724.1,14.96,417.24,41291.9,4186,2,0,1.1,Freeze
1900 STORE,Project Fund,2021-04-24,2021-05-10,2021-05-06,12,Payment Only,Cash,Net 30,PR-2021-6792,,,Non-VAT,Honorarium 5%,PHP,14456.47,0.0,722.82,13733.65,806,0,0,0.92,Increase
HS,Others,2022-07-18,2022-08-19,2022-07-27,9,Purchase Order,Fund Transfer,Net 30,PR-2022-9851,PO-2022-3456,RR-2022-8327,Non-VAT,Goods,PHP,15460.85,147.52,154.61,15158.72,350,0,0,1.0,Decrease
CHS,General Fund,2022-02-23,2022-03-13,2022-03-04,9,Purchase Order,Fund Transfer,Net 30,PR-2022-7202,PO-2022-9399,,VAT,Services,USD,33897.75,72.87,677.95,33146.93,2636,5,0,0.91,Freeze
ORDI,General Fund,2023-07-23,2023-08-07,2023-07-26,3,Payment Only,Fund Transfer,Net 7,PR-2023-2352,,RR-2023-4346,VAT,Honorarium 5%,PHP,9521.92,25.48,476.1,9020.34,690,0,0,1.01,Freeze
NSTP,Project Fund,2021-06-14,2021-06-21,2021-06-20,6,Purchase Order,Fund Transfer,Net 15,PR-2021-2632,PO-2021-2102,RR-2021-7980,VAT,Rental,PHP,5035.02,53.34,251.75,4729.93,477,0,0,1.01,Freeze
CEA,Special Fund,2024-10-23,2024-11-23,2024-10-27,4,Payment Only,Cheque,Net 15,PR-2024-7992,,RR-2024-4825,VAT,Services,PHP,18816.35,12.46,376.33,18427.56,5100,8,0,0.91,Increase
BDCCO,Special Fund,2025-06-07,2025-06-18,2025-06-17,10,Purchase Order,Cash,Net 30,PR-2025-5087,PO-2025-7445,RR-2025-4605,VAT,Goods,PHP,23845.67,0.0,238.46,23607.21,801,0,0,0.94,Freeze
OP,Paid Fund,2024-09-09,2024-10-16,2024-09-20,11,Purchase Order,Cheque,Net 7,PR-2024-1296,PO-2024-7647,RR-2024-8804,VAT,Goods,PHP,11610.58,48.82,116.11,11445.65,495,0,0,1.1,Decrease
ATYCB,General Fund,2023-09-17,2023-10-07,2023-09-26,9,Purchase Order,Fund Transfer,Net 30,PR-2023-8592,PO-2023-3847,RR-2023-6781,Non-VAT,Services,PHP,20241.77,82.17,404.84,19754.76,938,6,0,1.05,Freeze
CHS,General Fund,2025-04-16,2025-05-22,2025-05-08,22,Purchase Order,Cheque,Net 30,PR-2025-6727,PO-2025-1166,,Non-VAT,Services,PHP,39477.38,49.79,789.55,38638.04,2931,5,0,0.93,Freeze
QAEO,Special Fund,2024-06-08,2024-06-26,2024-06-14,6,Purchase Order,Cash,Immediate,PR-2024-1363,PO-2024-4783,RR-2024-9771,VAT,Goods,PHP,12392.61,0.0,123.93,12268.68,470,0,0,0.98,Increase
CSCE,Others,2021-01-14,2021-01-28,2021-01-18,4,Payment Only,Cash,Net 15,PR-2021-3788,,,VAT,Services,PHP,18802.83,0.0,376.06,18426.77,512,0,0,0.98,Freeze
CAS,General Fund,2023-01-20,2023-02-14,2023-02-04,15,Purchase Order,Cheque,Net 30,PR-2023-6047,PO-2023-5313,,VAT,Rental,PHP,53689.18,35.93,2684.46,50968.79,3952,2,0,1.06,Decrease
EVP or COO,Paid Fund,2025-03-06,2025-04-08,2025-03-16,10,Purchase Order,Cheque,Net 30,PR-2025-5094,PO-2025-5146,RR-2025-5785,VAT,Services,PHP,15729.68,43.7,314.59,15371.39,352,0,0,0.98,Freeze
ATYCB,Paid Fund,2022-10-21,2022-11-18,2022-10-25,4,Purchase Order,Cheque,Net 7,PR-2022-4351,PO-2022-6950,RR-2022-3105,Non-VAT,Services,USD,21164.51,32.02,423.29,20709.2,967,6,0,1.08,Freeze
PO,Project Fund,2021-02-25,2021-03-14,2021-03-08,11,Purchase Order,Fund Transfer,Net 30,PR-2021-7787,PO-2021-9879,RR-2021-4861,VAT,Services,PHP,14305.69,93.73,286.11,13925.85,570,0,0,1.04,Freeze
ATYCB,General Fund,2024-10-16,2024-11-03,2024-10-21,5,Purchase Order,Fund Transfer,Net 7,PR-2024-6577,PO-2024-5595,,VAT,Services,PHP,65242.82,81.48,1304.86,63856.48,933,6,0,1.05,Increase
